Ticker,Company Name,Exchange ,Sector,Industry,CEO,Issue Type
PIH,1347 Property Insurance Holdings Inc.,NASDAQ Global Market,Financial Services,Insurance - Property & Casualty,Douglas N. Raucy,cs
PIHPP,1347 Property Insurance Holdings Inc. 8.00% Cumulative Series A Preferred Stock,NASDAQ Global Market,Financial Services,Insurance - Property & Casualty,Douglas N. Raucy,ps
TURN,180 Degree Capital Corp.,NASDAQ Global Market,Financial Services,Asset Management,Kevin Rendino,cs
FLWS,1-800 FLOWERS.COM Inc.,Nasdaq Global Select,Consumer Cyclical,Retail - Apparel & Specialty,Christopher G. McCann,cs
FCCY,1st Constitution Bancorp (NJ),NASDAQ Global Market,Financial Services,Banks,Robert F. Mangano,cs
SRCE,1st Source Corporation,Nasdaq Global Select,Financial Services,Banks,Christopher J. Murphy,cs
VNET,21Vianet Group Inc.,Nasdaq Global Select,Technology,Application Software,Shiqi Wang / Steve Zhenqing Zhang,cs
TWOU,2U Inc.,Nasdaq Global Select,Technology,Application Software,Christopher J. Paucek,cs
JOBS,51job Inc.,Nasdaq Global Select,Industrials,Employment Services,Rick Yan,cs
EGHT,8x8 Inc,New York Stock Exchange,Communication Services,Communication Services,Vikram Verma,cs
AVHI,A V Homes Inc.,Nasdaq Global Select,Consumer Cyclical,Homebuilding & Construction,Roger A. Cregg,cs
SHLM,A. Schulman Inc.,Nasdaq Global Select,Basic Materials,Chemicals,Joseph M. Gingo,cs
AAON,AAON Inc.,Nasdaq Global Select,Basic Materials,Building Materials,Norman H. Asbjornson,cs
ABAX,ABAXIS Inc.,Nasdaq Global Select,Healthcare,Medical Diagnostics & Research,Clinton H. Severson,cs
ABEO,Abeona Therapeutics Inc.,NASDAQ Capital Market,Healthcare,Biotechnology,Frank Carsten Thiel,cs
ABEOW,,,,,,
ABIL,Ability Inc.,NASDAQ Capital Market,Technology,Communication Equipment,Anatoly Hurgin,cs
ABMD,ABIOMED Inc.,Nasdaq Global Select,Healthcare,Medical Devices,Michael R. Minogue,cs
AXAS,Abraxas Petroleum Corporation,NASDAQ Capital Market,Energy,Oil & Gas - E&P,Robert L.G. Watson,cs
ACIU,AC Immune SA,NASDAQ Global Market,Healthcare,Biotechnology,Andrea Pfeifer,cs
ACIA,Acacia Communications Inc.,Nasdaq Global Select,Technology,Communication Equipment,Murugesan Shanmugaraj,cs
ACTG,Acacia Research Corporation,Nasdaq Global Select,Industrials,Business Services,,cs
ACHC,Acadia Healthcare Company Inc.,Nasdaq Global Select,Healthcare,Health Care Providers,Joey A. Jacobs,cs
ACAD,ACADIA Pharmaceuticals Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Stephen R. Davis,cs
ACST,Acasti Pharma Inc.,NASDAQ Capital Market,Healthcare,Biotechnology,Janelle D'Alvise,cs
AXDX,Accelerate Diagnostics Inc.,NASDAQ Capital Market,Healthcare,Medical Diagnostics & Research,Lawrence Mehren,cs
XLRN,Acceleron Pharma Inc.,NASDAQ Global Market,Healthcare,Biotechnology,Habib J. Dable,cs
ANCX,Access National Corporation,NASDAQ Global Market,Financial Services,Banks,Michael W. Clarke,cs
ARAY,Accuray Incorporated,Nasdaq Global Select,Healthcare,Medical Devices,,cs
ACRX,AcelRx Pharmaceuticals Inc.,NASDAQ Global Market,Healthcare,Medical Devices,Vincent J. Angotti,cs
ACER,Acer Therapeutics Inc.,NASDAQ Capital Market,Healthcare,Biotechnology,Chris Schelling,cs
ACET,Aceto Corporation,Nasdaq Global Select,Healthcare,Drug Manufacturers,,cs
AKAO,Achaogen Inc.,NASDAQ Global Market,Healthcare,Biotechnology,Blake Wise,cs
ACHV,Achieve Life Sciences Inc.,NASDAQ Capital Market,Healthcare,Biotechnology,Richard Alistair Balfour Stewart,cs
ACHN,Achillion Pharmaceuticals Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Milind S. Deshpande,cs
ACIW,ACI Worldwide Inc.,Nasdaq Global Select,Technology,Application Software,Phillip G. Heasley,cs
ACRS,Aclaris Therapeutics Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Neal Walker,cs
ACMR,ACM Research Inc.,NASDAQ Global Market,Technology,Semiconductors,David H. Wang,cs
ACNB,ACNB Corporation,NASDAQ Capital Market,Financial Services,Banks,James Helt,cs
ACOR,Acorda Therapeutics Inc.,Nasdaq Global Select,Healthcare,Biotechnology,Ron Cohen,cs
